Species,Tissue,Individual,Kit,n_rows,nanodrop_cv,ratio_260_280_cv,ratio_260_230_cv,qubit_cv
Octopus,Skin,1,MasterPure,1,NA,NA,NA,NA
Octopus,Skin,1,PowerFecal,1,NA,NA,NA,NA
Octopus,Skin,1,PowerSoil,1,NA,NA,NA,NA
Octopus,Skin,1,PureLink,1,NA,NA,NA,NA
Octopus,Skin,2,MasterPure,1,NA,NA,NA,NA
Octopus,Skin,2,PowerFecal,1,NA,NA,NA,NA
Octopus,Skin,2,PowerSoil,1,NA,NA,NA,NA
Octopus,Skin,2,PureLink,1,NA,NA,NA,NA
Octopus,Skin,3,MasterPure,1,NA,NA,NA,NA
Octopus,Skin,3,PowerFecal,1,NA,NA,NA,NA
Octopus,Skin,3,PowerSoil,1,NA,NA,NA,NA
Octopus,Skin,3,PureLink,1,NA,NA,NA,NA
Octopus,Skin,4,MasterPure,1,NA,NA,NA,NA
Octopus,Skin,4,PowerFecal,1,NA,NA,NA,NA
Octopus,Skin,4,PowerSoil,1,NA,NA,NA,NA
Octopus,Skin,4,PureLink,1,NA,NA,NA,NA
Octopus,Skin,5,MasterPure,1,NA,NA,NA,NA
Octopus,Skin,5,PowerFecal,1,NA,NA,NA,NA
Octopus,Skin,5,PowerSoil,1,NA,NA,NA,NA
Octopus,Skin,5,PureLink,1,NA,NA,NA,NA
Octopus,Mantle,1,MasterPure,1,NA,NA,NA,NA
Octopus,Mantle,1,PowerFecal,1,NA,NA,NA,NA
Octopus,Mantle,1,PowerSoil,1,NA,NA,NA,NA
Octopus,Mantle,1,PureLink,1,NA,NA,NA,NA
Octopus,Mantle,2,MasterPure,1,NA,NA,NA,NA
Octopus,Mantle,2,PowerFecal,1,NA,NA,NA,NA
Octopus,Mantle,2,PowerSoil,1,NA,NA,NA,NA
Octopus,Mantle,2,PureLink,1,NA,NA,NA,NA
Octopus,Mantle,3,MasterPure,1,NA,NA,NA,NA
Octopus,Mantle,3,PowerFecal,1,NA,NA,NA,NA
Octopus,Mantle,3,PowerSoil,1,NA,NA,NA,NA
Octopus,Mantle,3,PureLink,1,NA,NA,NA,NA
Octopus,Mantle,4,MasterPure,1,NA,NA,NA,NA
Octopus,Mantle,4,PowerFecal,1,NA,NA,NA,NA
Octopus,Mantle,4,PowerSoil,1,NA,NA,NA,NA
Octopus,Mantle,4,PureLink,1,NA,NA,NA,NA
Octopus,Mantle,5,MasterPure,1,NA,NA,NA,NA
Octopus,Mantle,5,PowerFecal,1,NA,NA,NA,NA
Octopus,Mantle,5,PowerSoil,1,NA,NA,NA,NA
Octopus,Mantle,5,PureLink,1,NA,NA,NA,NA
Turbot,Skin,1,MasterPure,1,NA,NA,NA,NA
Turbot,Skin,1,PowerFecal,1,NA,NA,NA,NA
Turbot,Skin,1,PowerSoil,1,NA,NA,NA,NA
Turbot,Skin,1,PureLink,1,NA,NA,NA,NA
Turbot,Skin,2,MasterPure,1,NA,NA,NA,NA
Turbot,Skin,2,PowerFecal,1,NA,NA,NA,NA
Turbot,Skin,2,PowerSoil,1,NA,NA,NA,NA
Turbot,Skin,2,PureLink,1,NA,NA,NA,NA
Turbot,Skin,3,MasterPure,1,NA,NA,NA,NA
Turbot,Skin,3,PowerFecal,1,NA,NA,NA,NA
Turbot,Skin,3,PowerSoil,1,NA,NA,NA,NA
Turbot,Skin,3,PureLink,1,NA,NA,NA,NA
Turbot,Skin,4,MasterPure,1,NA,NA,NA,NA
Turbot,Skin,4,PowerFecal,1,NA,NA,NA,NA
Turbot,Skin,4,PowerSoil,1,NA,NA,NA,NA
Turbot,Skin,4,PureLink,1,NA,NA,NA,NA
Turbot,Skin,5,MasterPure,1,NA,NA,NA,NA
Turbot,Skin,5,PowerFecal,1,NA,NA,NA,NA
Turbot,Skin,5,PowerSoil,1,NA,NA,NA,NA
Turbot,Skin,5,PureLink,1,NA,NA,NA,NA
Turbot,Gut,1,MasterPure,1,NA,NA,NA,NA
Turbot,Gut,1,PowerFecal,1,NA,NA,NA,NA
Turbot,Gut,1,PowerSoil,1,NA,NA,NA,NA
Turbot,Gut,1,PureLink,1,NA,NA,NA,NA
Turbot,Gut,2,MasterPure,1,NA,NA,NA,NA
Turbot,Gut,2,PowerFecal,1,NA,NA,NA,NA
Turbot,Gut,2,PowerSoil,1,NA,NA,NA,NA
Turbot,Gut,2,PureLink,1,NA,NA,NA,NA
Turbot,Gut,3,MasterPure,1,NA,NA,NA,NA
Turbot,Gut,3,PowerFecal,1,NA,NA,NA,NA
Turbot,Gut,3,PowerSoil,1,NA,NA,NA,NA
Turbot,Gut,3,PureLink,1,NA,NA,NA,NA
Turbot,Gut,4,MasterPure,1,NA,NA,NA,NA
Turbot,Gut,4,PowerFecal,1,NA,NA,NA,NA
Turbot,Gut,4,PowerSoil,1,NA,NA,NA,NA
Turbot,Gut,4,PureLink,1,NA,NA,NA,NA
Turbot,Gut,5,MasterPure,1,NA,NA,NA,NA
Turbot,Gut,5,PowerFecal,1,NA,NA,NA,NA
Turbot,Gut,5,PowerSoil,1,NA,NA,NA,NA
Turbot,Gut,5,PureLink,1,NA,NA,NA,NA
